Year,Gasoline,Diesel,LP gas,Natural Gas,Electricity
1965,0.654,0.203,0.11,0.135,0.037
1966,0.604,0.23,0.111,0.14,0.039
1967,0.57,0.252,0.112,0.143,0.039
1968,0.572,0.265,0.113,0.146,0.042
1969,0.55,0.293,0.114,0.15,0.045
1970,0.541,0.298,0.114,0.153,0.049
1971,0.523,0.328,0.11,0.157,0.053
1972,0.476,0.325,0.123,0.149,0.055
1973,0.59,0.414,0.126,0.159,0.056
1974,0.447,0.345,0.087,0.109,0.061
1975,0.555,0.354,0.091,0.134,0.067
1976,0.482,0.418,0.111,0.168,0.081
1977,0.479,0.434,0.102,0.118,0.099
1978,0.432,0.575,0.112,0.173,0.119
1979,0.431,0.498,0.114,0.125,0.116
1980,0.371,0.468,0.1,0.093,0.11
1981,0.354,0.429,0.094,0.082,0.112
1982,0.288,0.416,0.098,0.097,0.113
1983,0.277,0.452,0.079,0.073,0.104
1984,0.256,0.435,0.086,0.076,0.112
1985,0.232,0.426,0.087,0.054,0.1
1986,0.199,0.379,0.065,0.062,0.096
1987,0.186,0.425,0.058,0.036,0.115
1988,0.19,0.404,0.059,0.048,0.122
1989,0.172,0.386,0.06,0.028,0.133
1990,0.178,0.355,0.058,0.048,0.115566392
1991,0.139105722,0.436404979,0.052851788,0.065741491,0.113956382
1992,0.190127837,0.442272084,0.074436612,0.039072829,0.116870747
1993,0.208294891,0.5076597,0.077066264,0.056961338,0.117999303
1994,0.161356263,0.4600832,0.072498027,0.051917112,0.118415336
1995,0.176949044,0.495130077,0.064134511,0.062214028,0.147025214
1996,0.175564124,0.440917736,0.074686712,0.071425765,0.130553252
1997,0.187041617,0.49430091,0.085929783,0.078830589,0.133498856
1998,0.172235757,0.546755164,0.079434064,0.093704767,0.133751562
1999,0.183516972,0.612635701,0.091314014,0.095,0.138838448
2000,0.15053054,0.451295147,0.069334562,0.074949189,0.136565978
2001,0.158157875,0.483242241,0.071196764,0.062855456,0.135677234
2002,0.144875149,0.482339852,0.083661825,0.094217303,0.146326597
2003,0.120598128,0.378852446,0.074859493,0.063655815,0.133615692
2004,0.138853459,0.522687146,0.087705979,0.074449268,0.144866909
2005,0.117661147,0.434948028,0.06880218,0.04591504,0.133999472
2006,0.108512121,0.410704191,0.061364688,0.044224149,0.135839982
2007,0.131483285,0.466585259,0.078689873,0.062137796,0.151370204
2008,0.110399743,0.38102139,0.075467242,0.071972563,0.151580227
2009,0.150724066,0.58352498,0.097325338,0.065246401,0.15442946
2010,0.110613515,0.441353665,0.062504591,0.064463625,0.154778235
2011,0.094654553,0.390842229,0.061670253,0.083260575,0.163096551
2012,0.098972718,0.38049927,0.052933669,0.066861156,0.182309954
2013,0.098659284,0.42009375,0.074472199,0.0699363,0.183056954
2014,0.104066989,0.415800782,0.07971775,0.096377598,0.187491094
2015,0.112524234,0.467461421,0.069902512,0.073942599,0.183508743
2016,0.128385989,0.603095041,0.076216521,0.073843627,0.182706645
2017,0.115198207,0.505334218,0.08039704,0.085441161,0.185827675
2018,0.109348564,0.513413611,0.083667295,0.064486527,0.193559484
